,Type,Combo,cnt.spp.IndicatorClass_TP_high,prop.spp.IndicatorClass_DOC_high,prop.spp.Green,prop.spp.BCG3
801WE1008_5.14.13_1,ref,1.003943496,1.069278201,1.202389744,1.347340894,0.396765145
801WE1132_3.26.09_1,ref,0.573332715,1.060086298,0.194097753,1.039146808,0
801WE1132_4.29.09_1,ref,0.928624554,1.077872716,1.176562684,1.018360191,0.441702624
801WE1132_6.1.09_1,ref,1.15077549,1.58706058,0.792706243,1.325107873,0.898227263
801WE1132_7.8.09_1,ref,1.131265358,1.069278201,0.785891854,1.347340894,1.322550483
801WE1132_8.19.09_1,ref,1.037634857,0.795064724,0.72345526,1.629571131,1.002448313
802FMCAIP_6.7.11_1,ref,1.368218539,1.077872716,1.733295816,1.336597751,1.325107873
802S45233_6.12.13_1,ref,1.162471335,1.58706058,1.115867245,1.325107873,0.621849644
901ATCAAS_6.5.08_1,ref,1.188198713,1.069278201,1.106274847,1.051222017,1.526019788
901BELOLV_3.26.15_1,ref,1.165996851,1.060086298,1.331460169,1.417018375,0.855422561
901BELOLV_3.26.15_2,ref,1.202797012,1.077872716,1.905376965,1.105152253,0.722786113
901BELOLV_3.27.14_1,ref,1.108571228,1.58706058,1.242823353,0.93073053,0.673670447
901BELOLV_4.4.13_1,ref,0.994849077,1.069278201,1.232139594,1.347340894,0.330637621
901BELOLV_5.1.14_1,ref,1.040251596,1.060086298,1.343559769,1.1336147,0.623745617
901CSCADC_5.26.11_1,ref,1.112584021,1.077872716,1.71102649,0.954712679,0.706724199
901DCCSMC_5.16.11_1,ref,1.038497082,1.58706058,0.792706243,1.325107873,0.449113631
901NP9FLC_3.25.15_1,ref,1.028477124,1.069278201,1.210889701,0.889061679,0.944678916
901NP9FLC_3.27.14_1,ref,1.285851332,1.060086298,1.144780624,1.983825725,0.954712679
901NP9FLC_4.30.14_1,ref,1.234230896,1.077872716,1.786038954,1.23610168,0.836910236
901NP9FLC_4.30.14_2,ref,1.116921962,1.58706058,1.242823353,0.851855061,0.785948855
901S00469_5.13.09_1,ref,0.964239807,1.069278201,1.023890648,0.705749992,1.058040386
901S01705_5.14.09_1,ref,1.168784866,1.060086298,1.347340894,1.09818924,1.169523032
901S01849_6.1.10_1,ref,1.299477523,1.077872716,1.983825725,0.93156813,1.204643521
901S02873_6.1.10_1,ref,1.204031072,1.58706058,1.286952482,0.991047065,0.951064161
901S06969_5.31.12_1,ref,0.963485953,0.5346391,1.15776497,0.673670447,1.487869293
901SCCA74_3.7.13_1,ref,0.83811878,0.795064724,1.20959991,0.870454144,0.47735634
901SCCA74_4.1.13_1,ref,1.096652893,0.808404537,1.81282912,0.881972666,0.883405249
901SCCA74_6.8.10_1,ref,1.113826972,1.58706058,1.212815546,0.757204499,0.898227263
901SJSMT2_5.5.08_1,ref,0.908675668,0.801958651,0.731801218,0.297464873,1.803477931
902ARO100_4.21.14_1,ref,0.67870708,1.060086298,0.885503477,0.769238546,0
902ARO100_5.5.14_1,ref,1.047602008,1.347340894,1.983825725,0.859241411,0
902ASTRLC_4.3.13_1,ref,1.241549891,1.983825725,1.336597751,0.567903374,1.077872716
902SMSTN1_5.6.08_1,ref,1.075180795,0.801958651,0.48839336,1.026545443,1.983825725
903ACPCT1_3.26.13_1,ref,1.183513738,1.060086298,0.799077762,1.983825725,0.891065167
903ACPCT1_5.29.12_1,ref,0.792394681,1.077872716,0.92205611,0.791047649,0.378602249
903FCPSPx_4.8.15_1,ref,1.12117796,1.58706058,1.336597751,0.919462606,0.641590902
903FRC_4.8.14_1,ref,0.970258774,0.801958651,1.099048163,1.144733241,0.835295042
903FRC_5.12.14_1,ref,1.259722126,1.060086298,1.231206339,1.983825725,0.763770144
903NP9LWF_5.8.15_1,ref,0.938596707,0.538936358,1.602584559,0.921505282,0.691360629
903NP9UAC_4.9.15_1,ref,0.96545473,1.190295435,1.135652613,1.054677695,0.481193177
903SLFRCx_5.7.08_1,ref,0.960696298,1.069278201,1.125890132,0.797405835,0.850211025
903WE0798_4.8.15_1,ref,1.011073972,0.795064724,1.249594789,1.260241874,0.739394501
903WE0900_4.8.15_1,ref,1.140086022,1.077872716,1.983825725,0.918910954,0.579734694
905BCC_4.11.14_1,ref,1.215774571,1.58706058,1.229183441,1.066969976,0.979884287
905BCC_5.13.14_1,ref,0.945320234,0.5346391,1.187916845,0.879152939,1.179572052
905BCC_6.11.14_1,ref,1.000048115,0.530043149,1.162065767,1.417018375,0.891065167
905DGCC1x_3.25.14_1,ref,1.193337361,1.077872716,1.983825725,0.923749025,0.787901979
905DGCC1x_4.3.13_1,ref,1.218556126,1.58706058,1.229183441,0.751468101,1.306512382
905S02561_5.25.11_1,ref,1.222209545,1.069278201,0.48839336,1.347340894,1.983825725
905SDBDN9_3.25.14_1,ref,0.911583364,1.060086298,1.101567766,1.039146808,0.445532584
905SDISS2_5.8.08_1,ref,1.166941093,1.347340894,1.983825725,1.336597751,0
905WE0679_3.27.15_1,ref,0.886806064,1.58706058,1.122792124,0.567903374,0.269468179
907CCCR02_3.29.10_1,ref,0.645512851,0.5346391,1.046203035,0.505252835,0.495956431
907CCCR02_5.5.10_1,ref,0.938268476,1.060086298,1.239063222,1.210906611,0.243017773
907CCCR02_5.8.08_1,ref,0.61631833,0.538936358,1.112936041,0.245497546,0.567903374
907CCCR02_6.9.10_1,ref,1.161051905,1.58706058,1.032768702,0.946505624,1.077872716
907CCCR02_7.13.10_1,ref,1.014990974,1.069278201,1.275889372,0.781231275,0.933565047
907CCCR02_8.24.10_1,ref,1.112635892,1.060086298,1.317632055,1.30905507,0.763770144
907CONECR_5.16.12_1,ref,1.221503282,1.077872716,1.844642442,0.859241411,1.104256561
907CONECR_5.31.12_1,ref,1.186021853,1.58706058,1.212815546,1.135806748,0.808404537
907S03210_5.18.11_1,ref,1.058510008,1.069278201,1.023890648,1.347340894,0.79353029
907S03210_5.18.11_2,ref,1.062597916,1.060086298,1.222563768,1.70042205,0.26731955
907SDB035_5.22.14_1,ref,1.498218061,1.347340894,1.983825725,1.336597751,1.325107873
909JQCASR_6.1.11_1,ref,0.776179637,1.58706058,0.192550097,1.325107873,0
909S00282_4.6.15_1,ref,0.827275171,0.5346391,1.110435665,0.822402884,0.841623035
909S00282_4.6.15_2,ref,0.863469429,0.530043149,1.063756515,1.275316537,0.584761516
911COPPER_3.24.15_1,ref,0.751364107,0.269468179,1.71102649,0.31823756,0.706724199
911COPPER_4.2.13_1,ref,1.053712879,1.58706058,1.289978479,0.567903374,0.769909083
911KCKCRx_4.7.15_1,ref,1.060694482,1.069278201,1.196234603,0.882740586,1.094524538
911KCKCRx_5.31.11_1,ref,0.993532408,1.060086298,0.950322764,1.629571131,0.334149438
911KCKCRx_5.6.14_1,ref,1.275458433,1.077872716,1.971895729,1.200210226,0.851855061
911LAP_4.9.14_1,ref,1.04051918,1.58706058,1.167803835,0.733541858,0.673670447
911NP9ATC_3.24.14_1,ref,1.163984816,0.801958651,1.202389744,0.866147718,1.785443152
911NP9ATC_4.29.14_1,ref,1.228219472,1.060086298,1.264446999,1.765822898,0.822521693
911NP9ATC_4.7.15_1,ref,1.081863372,1.077872716,1.834960126,0.838486788,0.576133858
911NP9ATC_4.7.15_2,ref,1.061533822,1.58706058,1.126126325,0.834327179,0.698621204
911NP9UCW_3.18.15_1,ref,0.693841951,0.5346391,0.870891423,0.614094149,0.755743133
911NP9UCW_3.24.14_1,ref,1.007978115,0.795064724,1.216305354,1.006571673,1.013970708
911NP9UCW_4.29.14_1,ref,1.007499402,0.808404537,1.758991191,0.749082256,0.713519624
911S00538_5.5.09_1,ref,1.226195614,1.58706058,1.326178374,0.694104124,1.29743938
911S00858_5.31.10_1,ref,1.040476249,1.336597751,1.323308487,0.478088704,1.023910051
911S01142_3.23.15_1,ref,0.99544927,0.795064724,1.124836228,1.547820071,0.514076058
911S01142_5.24.11_1,ref,1.11983756,1.077872716,1.770411358,1.336597751,0.294468416
911S02058_5.5.09_1,ref,1.22598899,1.58706058,1.167803835,0.970168264,1.178923283
911S03354_5.5.09_1,ref,1.145473291,1.069278201,1.05634503,0.47244421,1.983825725
911TCCTCx_5.31.11_1,ref,1.294896884,1.060086298,0.799077762,1.983825725,1.336597751
911TJIND2_5.8.08_1,ref,0.949670098,1.077872716,1.702928554,0.29509301,0.722786113
911TJKC1x_3.30.15_1,ref,0.850526062,0.79353029,1.148731076,0.683409145,0.776433736
911TJKTC5_5.7.08_1,ref,0.703908323,0.26731955,1.110435665,0.355791318,1.082086759
911TJLCC2_4.7.15_1,ref,1.144811607,1.060086298,1.321560496,1.468546316,0.729053319
911TJWIL3_5.25.11_1,ref,0.559411075,0.538936358,1.039520683,0.455324509,0.20386275
911TJWIL3_5.6.08_1,ref,1.168761184,1.58706058,0.878442836,1.054677695,1.154863624
911TJWIL3_5.6.08_2,ref,1.17824126,1.069278201,0.870891423,1.072373365,1.70042205
MJMJ1_6.19.08_1,ref,0.785196067,0.795064724,1.01514205,0.56680735,0.763770144
SASA4_10.4.07_1,ref,1.225039027,1.077872716,1.399255937,1.097919581,1.325107873
SASA4_11.2.08_1,ref,1.362245184,1.983825725,0.792706243,1.325107873,1.347340894
SASA4_6.6.08_1,ref,1.337820335,1.336597751,1.325107873,0.705749992,1.983825725
SASA4_6.7.07_1,ref,1.097468628,1.060086298,0.859575762,1.1336147,1.336597751
SCFC1_6.12.08_1,ref,1.052656042,1.347340894,1.71102649,0.445532584,0.706724199
SCSS1_6.17.08_1,ref,0.677575093,1.190295435,0.621233059,0.513817339,0.384954541
SGBC1_10.5.07_1,ref,0.917034297,0.5346391,1.07045563,0.510483196,1.552559263
SGBC1_11.3.08_1,ref,0.777032469,0.530043149,0.926441974,1.088866751,0.562778
SGBC1_6.10.08_1,ref,0.852804565,0.808404537,1.399255937,0.541003852,0.662553937
SGBC1_6.24.07_1,ref,0.662966984,0.396765145,0.94274528,0.446209794,0.866147718
SGUR103_7.22.10_1,ref,1.00226163,1.336597751,1.325107873,1.347340894,0
SJTC2_6.14.07_1,ref,1.121950264,1.060086298,0.744079579,1.468546316,1.215088865
SMAD1_10.7.07_1,ref,1.18643713,1.347340894,1.399255937,1.336597751,0.662553937
SMAD1_11.5.08_1,ref,0.926218674,1.58706058,0.792706243,1.325107873,0
SMAD1_6.18.08_1,ref,0.800627737,1.069278201,0.785891854,1.347340894,0
SMAD1_6.26.07_1,ref,1.079458778,1.325107873,1.041069765,1.417018375,0.5346391
SMAS1_5.12.08_1,ref,1.02731835,1.347340894,1.399255937,0.700122632,0.662553937
SMC00135_6.7.10_1,ref,1.385939653,1.983825725,1.336597751,1.325107873,0.898227263
SMC00271_6.4.09_1,ref,1.22248334,1.069278201,1.142890046,1.090704534,1.58706058
SMC00271_8.13.15_1,ref,1.498218061,1.325107873,1.347340894,1.983825725,1.336597751
SMC00282_6.9.09_1,ref,1.16910079,1.077872716,1.71102649,0.827417655,1.060086298
SMC00282_6.9.09_2,ref,1.069217448,1.58706058,1.135652613,0.784247517,0.769909083
SMC00428_5.15.14_1,ref,0.51578291,0.26731955,0.894073124,0,0.901738966
SMC00428_6.19.14_1,ref,0.593189043,0.265021575,0.971929193,0.499330284,0.63647512
SMC00428_7.22.10_1,ref,0.792394681,1.077872716,0.92205611,0.791047649,0.378602249
SMC00476_6.8.09_1,ref,1.15077549,1.58706058,0.792706243,1.325107873,0.898227263
SMC00791_6.22.11_1,ref,0.837815049,1.069278201,0.9346411,1.347340894,0
SMC00791_6.22.11_2,ref,0.993532408,1.060086298,0.950322764,1.629571131,0.334149438
SMC00911_6.4.09_1,ref,0.821786948,0.808404537,0.463944276,0.954712679,1.060086298
SMC01196_7.14.10_1,ref,0.93695501,1.983825725,1.135652613,0.24338716,0.384954541
SMC01248_7.26.11_1,ref,0.67348165,0.801958651,0.831660853,0.755103139,0.305203958
SMC01367_6.23.11_1,ref,0.930498446,1.060086298,0.67808176,1.983825725,0
SMC01413_7.9.12_1,ref,1.179679022,1.077872716,1.581459507,1.336597751,0.722786113
SMC01413_7.9.12_2,ref,1.170628765,1.58706058,1.135652613,1.189892784,0.769909083
SMC01424_7.1.09_1,ref,0.987127393,0.801958651,1.05634503,0.647423547,1.442782345
SMC01567_6.9.10_1,ref,1.115477565,1.325107873,1.325147334,0.998073812,0.81358124
SMC01979_7.14.11_1,ref,0.937435722,0.808404537,1.265639985,1.145655215,0.530043149
SMC02139_7.17.12_1,ref,0.941085189,0.79353029,1.152799931,1.009605999,0.808404537
SMC02464_6.22.11_1,ref,1.048588824,1.069278201,1.05634503,1.347340894,0.721391173
SMC02591_7.21.11_1,ref,1.034934125,0.795064724,0.496587757,1.511486266,1.336597751
SMC02972_7.18.12_1,ref,1.185976645,1.347340894,1.176562684,1.336597751,0.883405249
SMC03234_6.28.11_1,ref,0.985554254,1.190295435,1.092784317,0.536353187,1.122784079
SMC03280_8.11.11_1,ref,1.140196104,0.801958651,1.113140196,1.058624988,1.58706058
SMC03452_6.13.12_1,ref,0.340468018,0.795064724,0,0.56680735,0
SMC04204_7.11.12_1,ref,1.138418718,1.077872716,1.800103791,1.145655215,0.530043149
SMC04383_5.19.14_1,ref,0.702278077,0.79353029,1.079737444,0.584364342,0.351480233
SMC04383_6.9.10_1,ref,0.722216678,1.069278201,0.845391552,0.577431812,0.396765145
SMC04524_7.9.13_1,ref,0.787022779,0.795064724,0.72345526,1.629571131,0
SMC04795_7.14.11_1,ref,0.461294105,0.808404537,0.463944276,0.572827608,0
SMC05243_6.10.10_1,ref,1.161382837,1.983825725,1.336597751,1.325107873,0
SMC05407_7.21.11_1,ref,1.113717501,0.801958651,1.083390347,1.026545443,1.542975564
SMC05848_6.18.13_1,ref,0.842662582,1.060086298,0.799077762,1.511486266,0
SMC06467_6.28.10_1,ref,1.166941093,1.347340894,1.983825725,1.336597751,0
SMC08157_6.22.11_1,ref,1.000409898,1.190295435,1.144521916,0.737621624,0.929200617
SMC09503_6.4.12_1,ref,0.766704253,0.801958651,0.731801218,1.172361557,0.360695586
SMC13599_6.4.12_1,ref,0.728109942,0.795064724,0.799077762,0.724253836,0.594043445
SMC18545_6.25.13_1,ref,0.965287739,0.808404537,1.581459507,0.989429504,0.481857408
SMC19809_6.25.13_1,ref,0.988972357,1.190295435,1.224068474,0.615228655,0.926296865
SMC29064_6.25.12_1,ref,1.085793264,1.069278201,0.9346411,1.347340894,0.991912862
SMCR8_474_7.5.09_1,ref,0.976609545,1.060086298,0.885503477,1.578963332,0.381885072
SQMC1_6.5.08_1,ref,0.908523528,0.808404537,1.065216058,1.097919581,0.662553937
SYHC2_6.3.08_1,ref,1.129227664,1.190295435,1.032768702,0.946505624,1.347340894
SYTQ1_6.3.08_1,ref,1.090714349,1.069278201,0.9346411,0.705749992,1.653188104
TJKT1_6.13.07_1,ref,1.183513738,1.060086298,0.799077762,1.983825725,0.891065167
VRMT3_11.4.08_1,ref,1.097965124,1.077872716,1.781015798,0.58646636,0.946505624
VRMT3_6.17.07_1,ref,1.109121769,1.58706058,1.055274558,0.615228655,1.178923283
VRMT3_6.17.08_1,ref,1.17570822,1.069278201,1.238089564,0.808404537,1.58706058
102PS0139_8.9.10_1,int,1.041428831,1.060086298,1.144780624,1.578963332,0.381885072
103FCA168_7.24.13_1,int,0.986835589,1.077872716,1.532871888,1.336597751,0
103PS0217_9.10.13_1,int,0.922362724,1.58706058,1.092784317,1.009605999,0
103RDCBCC_7.21.11_1,int,1.058510008,1.069278201,1.023890648,1.347340894,0.79353029
105PS0028_8.12.08_1,int,1.316503313,1.060086298,0.885503477,1.983825725,1.336597751
105PS0028_8.26.08_1,int,1.108650261,1.077872716,1.532871888,0.763770144,1.060086298
105PS0067_8.24.09_1,int,1.038497082,1.58706058,0.792706243,1.325107873,0.449113631
105PS0067_8.24.09_2,int,0.726253114,1.069278201,0.48839336,1.347340894,0
105PS0067_9.15.09_1,int,1.072130592,1.060086298,0.799077762,1.983825725,0.445532584
105PS0069_8.18.09_1,int,0.897758288,1.077872716,1.176562684,1.336597751,0
105PS0092_8.11.08_1,int,1.171563127,1.58706058,1.065504492,0.808832078,1.224855359
105PS0107_9.14.09_1,int,0.957503653,0.801958651,0.785891854,0.919613626,1.322550483
105PS0129_8.11.10_1,int,1.124446274,1.060086298,1.274419197,1.781394528,0.381885072
105PS0129_8.11.10_2,int,1.133285239,1.077872716,1.876455764,1.200210226,0.378602249
105PS0149_8.29.12_1,int,1.006276052,1.58706058,1.032768702,1.135806748,0.269468179
105PS0211_8.20.13_1,int,1.027329144,1.069278201,1.125890132,1.347340894,0.56680735
105PS0211_9.16.13_1,int,1.196257692,1.060086298,1.222563768,1.70042205,0.801958651
105PS0231_8.29.13_1,int,1.170992165,1.077872716,1.861772692,1.336597751,0.407725499
105PS0276_9.1.09_1,int,1.189236986,1.58706058,1.307125798,0.964534302,0.898227263
105PS0276_9.22.09_1,int,1.233135335,1.069278201,1.325107873,0.926296865,1.611858401
105PS0540_8.5.10_1,int,1.205620496,1.060086298,1.202397767,1.668932752,0.891065167
105PS1148_9.18.12_1,int,1.090683084,1.077872716,1.800103791,0.954712679,0.530043149
105PS1404_8.28.13_1,int,0.850426255,1.190295435,1.115867245,0.888259124,0.207283215
105PS1404_8.28.13_2,int,0.860127436,1.069278201,1.023890648,1.347340894,0
106FCA036_7.15.13_1,int,1.165633416,1.060086298,0.950322764,1.983825725,0.668298876
106HLCACC_9.23.13_1,int,1.185238134,1.077872716,1.861772692,1.189718877,0.611588249
106PS0022_9.30.08_1,int,1.188034379,1.58706058,0.49262817,1.325107873,1.347340894
106PS0051_9.16.08_1,int,1.165088973,1.069278201,1.232139594,0.705749992,1.653188104
106PS0051_9.16.08_2,int,1.04817401,1.060086298,1.202397767,1.039146808,0.891065167
106PS0106_9.8.09_1,int,1.076050815,1.077872716,1.581459507,1.163013628,0.481857408
106PS0106_9.8.09_2,int,1.141010142,1.58706058,1.032768702,1.135806748,0.808404537
106PS0122_9.20.10_1,int,0.958200196,1.069278201,1.253389486,0.659922071,0.850211025
106PS0142_7.19.10_1,int,0.884207923,0.795064724,1.074068675,0.695627202,0.972071092
106PS0206_10.3.12_1,int,1.114202264,1.077872716,1.918873526,1.018360191,0.441702624
106PTCAHC_9.2.08_1,int,1.141780184,1.58706058,1.167803835,0.970168264,0.842088059
107GWCAPC_9.15.10_1,int,0.860127436,1.069278201,1.023890648,1.347340894,0
107RWCBHW_8.3.11_1,int,0.966711924,1.060086298,1.177190267,1.629571131,0
107RWCBHW_8.3.11_2,int,0.977272028,1.077872716,1.733295816,1.097919581,0
108PS0197_8.16.12_1,int,0.851199156,1.58706058,0.49262817,1.325107873,0
110PS0114_7.21.10_1,int,1.222209545,1.069278201,0.48839336,1.347340894,1.983825725
110SMCATH_7.27.11_1,int,1.219274383,1.060086298,0.496587757,1.983825725,1.336597751
111CE0569_10.11.10_1,int,0.603617617,1.077872716,0,1.336597751,0
111FCA207_7.23.13_1,int,0.986234289,1.58706058,1.032768702,1.325107873,0
111PS0008_9.29.08_1,int,1.203880326,0.801958651,1.083390347,0.946346581,1.983825725
111PS0008_9.9.08_1,int,1.189193685,0.795064724,1.156565948,1.468546316,1.336597751
111PS0008_9.9.08_2,int,1.214202132,0.808404537,1.718772343,1.004523776,1.325107873
111PS0013_8.19.08_1,int,1.15077549,1.58706058,0.792706243,1.325107873,0.898227263
111PS0095_8.27.09_1,int,1.209782372,1.069278201,0.9346411,1.347340894,1.487869293
111PS0095_8.27.09_2,int,1.183513738,1.060086298,0.799077762,1.983825725,0.891065167
111PS0121_7.20.10_1,int,1.070837446,1.077872716,1.621949189,0.700122632,0.883405249
111PS0159_7.14.11_1,int,0.935990626,1.190295435,1.122792124,0.757204499,0.673670447
111PS0169_7.25.11_1,int,0.958587262,1.069278201,1.125890132,1.072373365,0.56680735
111PS0169_7.25.11_2,int,1.129427804,1.060086298,1.222563768,1.70042205,0.5346391
111PS0178_8.14.12_1,int,0.793221399,0.808404537,0.92205611,1.0638227,0.378602249
111PS0237_9.12.13_1,int,1.013369157,1.190295435,1.147343966,0.98092401,0.734913215
112PS0157_7.12.11_1,int,1.09568396,1.069278201,1.253389486,1.20985713,0.850211025
113GAR011_8.22.11_1,int,0.998558697,1.060086298,0.950322764,1.983825725,0
113GAR011_9.1.10_1,int,0.853219637,1.077872716,0.998408082,1.336597751,0
113GAR015_8.23.11_1,int,0.676670905,0.396765145,0.901825543,0.550694181,0.857398751
113GAR015_8.31.10_1,int,0.858447632,0.26731955,1.040890562,0.614094149,1.511486266
113GAR015_9.9.13_1,int,0.648796542,0.265021575,0.965968798,0.811120863,0.553074932
113GAR023_7.22.14_1,int,1.116370527,0.808404537,1.824397601,0.989429504,0.843250465
113GAR023_8.5.13_1,int,1.140051853,1.58706058,1.268692153,0.868174124,0.836280555
113GAR030_8.26.09_1,int,1.220285011,1.336597751,1.106274847,0.6070437,1.831223746
113GAR030_8.26.09_2,int,1.317003642,1.060086298,1.202397767,1.668932752,1.336597751
113GAR030_8.28.12_1,int,1.053300607,0.538936358,1.758991191,0.89596113,1.019313748
113GAR042_9.10.13_1,int,0.719102152,0.79353029,1.084210657,0.459731303,0.538936358
113GAR062_6.30.09_1,int,1.210561066,1.069278201,1.083390347,0.705749992,1.983825725
113GAR062_8.27.12_1,int,0.986232332,0.795064724,1.101567766,1.157231673,0.891065167
113GAR087_6.29.10_1,int,1.241713631,1.077872716,1.800103791,0.763770144,1.325107873
113GAR087_8.6.13_1,int,0.799650101,0.79353029,0.992758292,0.588936832,0.823374991
113GAR087_9.11.12_1,int,0.879106392,0.801958651,1.073131778,0.683626168,0.957708971
113GAR087_9.11.12_2,int,0.897241398,0.795064724,0.968472164,1.076933965,0.748494741
113GAR089_6.14.10_1,int,1.11768863,1.077872716,0.731176179,1.336597751,1.325107873
113GAR089_6.20.11_1,int,1.263053898,1.58706058,0.792706243,1.325107873,1.347340894
113GAR089_8.5.09_1,int,1.109499377,1.069278201,0.870891423,0.797405835,1.70042205
113GAR105_6.14.10_1,int,1.147636941,1.060086298,1.303227769,1.039146808,1.18808689
113GAR105_6.20.11_1,int,1.30889436,1.077872716,1.900315755,1.097919581,1.159469389
113GAR105_8.4.09_1,int,0.898686227,1.190295435,1.122792124,0.473252812,0.808404537
113GAR112_6.15.10_1,int,1.144896027,0.801958651,1.023890648,0.769909083,1.983825725
113GAR112_7.22.14_1,int,1.002910357,1.060086298,1.151982767,1.35403978,0.445532584
113GAR112_8.22.11_1,int,1.056443736,0.808404537,1.800103791,0.954712679,0.662553937
113GAR112_8.4.09_1,int,1.161382837,1.983825725,1.336597751,1.325107873,0
113GAR112_8.4.09_2,int,1.00226163,1.336597751,1.325107873,1.347340894,0
113GAR112_8.7.13_1,int,0.899663149,1.060086298,1.202397767,1.039146808,0.297021722
113GAR118_7.26.10_1,int,1.185055674,1.347340894,0.731176179,1.336597751,1.325107873
113GAR118_9.10.12_1,int,1.132146045,1.58706058,0.94274528,1.325107873,0.673670447
113GAR178_6.21.11_1,int,1.148912583,1.069278201,1.106274847,1.199281455,1.220815831
113GAR178_7.23.14_1,int,1.170106409,1.060086298,1.278889493,1.788374914,0.553074932
113GAR178_8.31.10_1,int,1.251857163,1.077872716,1.532871888,1.336597751,1.060086298
113GAR178_9.9.13_1,int,1.257621473,1.983825725,1.336597751,1.325107873,0.384954541
113GAR178_9.9.13_2,int,1.084415012,1.336597751,1.15776497,1.347340894,0.495956431
113GAR244_6.28.10_1,int,0.765453988,0.795064724,0.315093755,1.417018375,0.5346391
113PS0012_9.9.08_1,int,1.173946277,1.077872716,1.595749983,0.775002057,1.247160351
113PS0012_9.9.08_2,int,1.14281272,1.58706058,0.94274528,0.694104124,1.347340894
113PS0076_8.2.12_1,int,1.188435361,1.069278201,1.142890046,1.219022714,1.322550483
113PS0076_8.22.12_1,int,1.165633416,1.060086298,0.950322764,1.983825725,0.668298876
113PS0120_9.14.10_1,int,0.872768007,0.269468179,1.685575833,0.627382618,0.908645399
113PS0168_7.6.11_1,int,1.169912504,1.58706058,1.280333112,0.970168264,0.842088059
113PS0216_9.3.13_1,int,1.222209545,1.069278201,0.48839336,1.347340894,1.983825725
113PS0232_9.4.13_1,int,0.822686618,0.265021575,1.162065767,0.913189619,0.950469512
113PS0232_9.4.13_2,int,0.79311111,0,1.714387898,0.507979199,0.950077343
113PS0268_6.11.14_1,int,1.375583175,1.58706058,1.242823353,1.325107873,1.347340894
114AU7778_6.21.10_1,int,1.168001092,1.069278201,1.083390347,0.866147718,1.653188104
114FCA199_8.1.13_1,int,0.578223371,0.265021575,0.845614685,0.89381159,0.308445635
114GV3469_7.5.11_1,int,0.765344016,0.808404537,0.731176179,0.859241411,0.662553937
114GV5331_7.6.11_1,int,0.517695034,1.190295435,0.312581326,0.567903374,0
114MA2364_7.6.10_1,int,1.044454931,0.801958651,0.960890967,0.781231275,1.633738832
114MRCURX_6.24.08_1,int,1.067017189,1.060086298,0.950322764,0.921061944,1.336597751
114PS0088_8.19.09_1,int,1.272498476,1.077872716,1.65620969,1.336597751,1.019313748
114PS0209_6.10.13_1,int,0.775792911,0.396765145,1.049916021,0.694104124,0.962386353
114PS0229_6.4.13_1,int,0.619432617,0,0.860266477,0.62555113,0.991912862
114WER118_8.20.08_1,int,0.898093707,0.795064724,0.87025188,0.98357746,0.943480766
115SALG01_6.30.10_1,int,0.786411661,1.077872716,0.731176179,1.336597751,0
115SC6093_7.7.11_1,int,0.969523627,1.190295435,0.852721858,0.757204499,1.077872716
115SC6093_7.7.11_2,int,0.946559417,0.801958651,0.894073124,0.647423547,1.442782345
201LAG190_10.6.08_1,int,1.147753093,1.060086298,1.101567766,1.983825725,0.445532584
201LAG380_7.14.09_1,int,1.11768863,1.077872716,0.731176179,1.336597751,1.325107873
201RDW080_4.29.09_1,int,0.970209336,1.190295435,0.901825543,0.808832078,0.979884287
201RDW080_5.7.08_1,int,1.272469869,1.336597751,1.083390347,1.347340894,1.322550483
201RDW080_6.2.10_1,int,1.222350291,1.060086298,1.177190267,1.983825725,0.668298876
201RDW080_6.23.08_1,int,1.066183987,1.077872716,1.473487021,1.124439378,0.588936832
201RDW080_6.3.09_1,int,1.019616768,1.58706058,0.49262817,1.325107873,0.673670447
201RDW080_6.3.09_2,int,0.974231329,1.069278201,0.48839336,1.347340894,0.991912862
201RDW080_8.11.09_1,int,1.381322599,1.060086298,1.144780624,1.983825725,1.336597751
201RDW080_8.12.08_1,int,0.95589612,0.808404537,1.450646687,0.749082256,0.815450999
202LAH950_6.13.12_1,int,0.728042113,1.58706058,0,1.325107873,0
202MIC150_5.7.14_1,int,1.058510008,1.069278201,1.023890648,1.347340894,0.79353029
202PES162_4.27.09_1,int,0.989860765,0.795064724,0.67808176,1.417018375,1.069278201
202PES162_5.1.08_1,int,0.887871961,0.808404537,0.92205611,1.0638227,0.757204499
202PES162_6.16.09_1,int,1.068044071,1.58706058,1.092784317,0.694104124,0.898227263
202PES162_6.18.08_1,int,0.974231329,1.069278201,0.48839336,1.347340894,0.991912862
202PES162_6.7.10_1,int,0.838713366,0.795064724,0.950322764,1.275316537,0.334149438
202PES162_8.17.09_1,int,0.974475241,0.808404537,1.265639985,0.763770144,1.060086298
202PES162_9.10.08_1,int,1.216354851,1.58706058,0.94274528,1.325107873,1.010505671
202PES162_9.10.08_2,int,1.187876011,1.069278201,1.05634503,0.822402884,1.803477931
202PS0246_6.5.13_1,int,1.14264443,1.060086298,1.144780624,1.983825725,0.381885072
202R00248_5.23.13_1,int,0.547733492,1.077872716,0.731176179,0.381885072,0
202R00248_5.23.13_2,int,0.61457275,1.58706058,0.49262817,0.378602249,0
202TUN600_5.12.14_1,int,0.961804157,1.069278201,0.9346411,1.347340894,0.495956431
